Txhash,Blockno,UnixTimestamp,DateTime,From,To,Token_ID,Method
0xa26f05c014cd586c96ab289b9c432dd5fede5636ce7066d4732673f3614484e0,15258248,1659378017,2022-08-01 18:20:17,0x0000000000000000000000000000000000000000,0x5462965d0ced05c8a2e3805d7ff420fb6186ab99,1,Mint
0xe42b4880163b8608024989a1d102a184c81ddeeeaace82523b0be01f8ca94eb8,15258254,1659378135,2022-08-01 18:22:15,0x0000000000000000000000000000000000000000,0xc0007bc0b9ee167f4b3f955402ebd533dea3eace,2,Mint
0x8e5ff72a1355aa70e57197b214f2bb23f453334e23f70c094e4369474d0016e1,15360448,1660762999,2022-08-17 19:03:19,0x0000000000000000000000000000000000000000,0x069e85d4f1010dd961897dc8c095fbb5ff297434,3,Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,4,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,5,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,6,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,7,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,8,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,9,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,10,Init Mint
0xa40a8c9f0c0d2ed3ed711df74d51b04e223cea69b44ad1bb3abc66d46491b4ee,15360931,1660769527,2022-08-17 20:52:07,0x0000000000000000000000000000000000000000,0x74701faf7443123063d4abb3f568240737e7afe3,11,Init Mint
